_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
789056,,Traffic Calming,0,215.0,358.0,170,179.0,50% + 1 of ballots received by voters,40,355.0,3.0,5,2015-08-22,0.0,358.0,2017-08-23,2015-07-23,129.0,60% of received ballots,TCP 2015-168,236.0,In Favour,423.0,Yes
789057,90 Runnymede Rd,Front Yard Parking,0,54.0,97.0,46,24.0,25% of ballots received by voters,4,95.0,2.0,4,2015-08-26,0.0,97.0,2018-08-27,2015-07-27,28.0,50% + 1 of received ballots,FYP 2015-169,237.0,In Favour,128.0,Yes
789058,,Traffic Calming,0,37.0,86.0,19,44.0,50% + 1 of ballots received by voters,15,86.0,0.0,3,2015-08-27,0.0,86.0,2017-08-28,2015-07-28,,60% of received ballots,TCP 2015-170,238.0,Response Rate Not Met,159.0,No
789059,,Traffic Calming,0,44.0,69.0,28,36.0,50% + 1 of ballots received by voters,15,69.0,0.0,1,2015-08-26,0.0,69.0,2017-08-27,2015-07-27,27.0,60% of received ballots,TCP 2015-171,239.0,In Favour,77.0,Yes
789060,,Traffic Calming,0,59.0,75.0,31,38.0,50% + 1 of ballots received by voters,25,73.0,2.0,3,2015-08-27,0.0,75.0,2017-08-28,2015-07-28,36.0,60% of received ballots,TCP 2015-172,240.0,Opposed,86.0,Yes
789061,1090 Bloor St W,Boulevard Cafe,0,21.0,134.0,14,32.0,25% of ballots received by voters,7,126.0,8.0,0,2015-08-27,0.0,134.0,2017-08-28,2015-07-28,,50% + 1 of received ballots,BCP 2015-173,241.0,Response Rate Not Met,155.0,No
789062,11 Lonsdale Rd,Front Yard Parking,0,22.0,53.0,14,12.0,25% of ballots received by voters,7,48.0,5.0,1,2015-08-27,0.0,53.0,2018-08-28,2015-07-28,12.0,50% + 1 of received ballots,FYP 2015-175,243.0,In Favour,90.0,Yes
789063,9 Lonsdale Rd,Front Yard Parking,0,20.0,51.0,14,12.0,25% of ballots received by voters,5,48.0,3.0,1,2015-08-26,0.0,51.0,2018-08-27,2015-07-27,11.0,50% + 1 of received ballots,FYP 2015-176,244.0,In Favour,88.0,Yes
789064,,Traffic Calming,0,90.0,314.0,60,150.0,50% + 1 of ballots received by voters,18,298.0,16.0,12,2015-09-03,0.0,314.0,2017-09-04,2015-08-04,,60% of received ballots,TCP 2015-177,245.0,Response Rate Not Met,388.0,No
789065,40 Rosethorn Ave,Appeal - Front Yard Parking,0,54.0,154.0,42,38.0,25% of ballots received by voters,5,149.0,5.0,7,2015-08-29,0.0,154.0,2018-08-30,2015-07-30,28.0,50% + 1 of received ballots,FYPA 2015-179,248.0,In Favour,187.0,Yes
789066,328 Runnymede Rd,Appeal - Front Yard Parking,0,68.0,107.0,48,27.0,25% of ballots received by voters,12,105.0,2.0,8,2015-09-05,0.0,107.0,2018-09-06,2015-08-06,35.0,50% + 1 of received ballots,FYPA 2015-180,249.0,In Favour,134.0,Yes
789067,16 Heddington Ave,Front Yard Parking,0,14.0,41.0,14,10.0,25% of ballots received by voters,0,38.0,3.0,0,2015-09-05,0.0,41.0,2018-09-06,2015-08-06,8.0,50% + 1 of received ballots,FYP 2015-181,250.0,In Favour,44.0,Yes
789068,37 Castlefield Ave,Appeal - Front Yard Parking,0,45.0,74.0,30,19.0,25% of ballots received by voters,15,73.0,1.0,0,2015-09-09,2.0,74.0,2018-09-10,2015-08-10,24.0,50% + 1 of received ballots,FYPA 2015-182,251.0,In Favour,85.0,Yes
789069,269 Glebeholme Blvd,Appeal - Front Yard Parking,0,76.0,148.0,38,35.0,25% of ballots received by voters,33,138.0,10.0,5,2015-09-12,0.0,148.0,2018-09-13,2015-08-13,39.0,50% + 1 of received ballots,FYPA 2015-183,252.0,Opposed,183.0,Yes
789070,121 Craighurst Ave,Appeal - Front Yard Parking,0,60.0,97.0,58,23.0,25% of ballots received by voters,0,91.0,6.0,2,2015-09-09,0.0,97.0,2018-09-10,2015-08-10,31.0,50% + 1 of received ballots,FYPA 2015-184,253.0,In Favour,113.0,Yes
789071,,Proposed Business Improvement Area,0,14.0,36.0,11,11.0,30% of ballots received by voters or 100,3,34.0,2.0,0,2015-10-16,6.0,36.0,2017-10-17,2015-08-17,7.0,50% of received ballots,PBIA 2015-185,254.0,In Favour,1178.0,Yes
789072,,Permit Parking,0,8.0,11.0,5,3.0,25% of ballots received by voters,3,9.0,2.0,0,2015-09-12,0.0,11.0,2017-09-13,2015-08-13,5.0,50% + 1 of received ballots,PPP 2015-187,256.0,In Favour,18.0,Yes
789073,36 Vaughan Rd,Boulevard Cafe,0,35.0,93.0,11,21.0,25% of ballots received by voters,21,83.0,10.0,3,2015-09-23,0.0,93.0,2017-09-24,2015-08-24,19.0,50% + 1 of received ballots,BCP 2015-188,257.0,Opposed,108.0,Yes
